Date,Open,High,Low,Close,Volume
01/06/2000,27.4,27.45,26.78,27.129,4649693
02/06/2000,27,27.3,27,27.08,2382489
05/06/2000,27.438,27.438,27.02,27.14,2545585
06/06/2000,27.148,27.65,27.07,27.5,1964760
07/06/2000,27.209,27.5,27.2,27.25,1345765
08/06/2000,27.24,27.24,26.85,26.95,3307615
09/06/2000,26.895,26.895,26.51,26.7,2600136
13/06/2000,26.55,26.7,26.29,26.54,2635724
14/06/2000,26.5,26.5,26.1,26.18,3272325
15/06/2000,26.25,26.63,26.15,26.605,2567497
16/06/2000,26.473,26.81,26.36,26.8,3021820
19/06/2000,26.541,26.7,26.45,26.6,1387615
20/06/2000,26.55,27,26.55,26.92,2344131
21/06/2000,26.85,27.01,26.76,26.943,1583220
22/06/2000,26.849,26.85,26.54,26.58,2719048
23/06/2000,26.525,26.7,26.35,26.649,3196624
26/06/2000,26.65,27.15,26.65,27.15,6390431
27/06/2000,27.243,27.48,27.15,27.442,3206735
28/06/2000,27.383,27.85,27.35,27.5,3365703
29/06/2000,27.45,27.45,27.12,27.3,3621634
30/06/2000,27.209,27.73,27.209,27.69,9749531
03/07/2000,27.3,27.45,27.15,27.19,3749380
04/07/2000,27.2,27.5,27.2,27.47,2277448
05/07/2000,27.4,27.65,27.32,27.6,2962512
06/07/2000,27.409,27.58,27.35,27.36,3037767
07/07/2000,27.35,27.5,27.07,27.166,2593123
10/07/2000,27.3,27.65,27.25,27.5,2187191
11/07/2000,27.5,27.65,27.4,27.65,1698068
12/07/2000,27.7,27.7,27.47,27.62,3047574
13/07/2000,27.65,27.93,27.65,27.75,3336821
14/07/2000,27.743,27.75,27.32,27.595,4844413
17/07/2000,27.412,27.92,27.35,27.85,1467613
18/07/2000,27.75,27.95,27.71,27.815,1559160
19/07/2000,27.649,27.95,27.649,27.7,1272851
20/07/2000,27.58,27.9,27.58,27.852,1123308
21/07/2000,28,28.12,27.85,28.02,3298512
24/07/2000,27.988,28.1,27.92,27.99,1628242
25/07/2000,27.84,28.2,27.83,28.14,1961178
26/07/2000,28.017,28.25,28.017,28.07,2418940
27/07/2000,27.99,28.06,27.85,27.97,2958419
28/07/2000,27.958,28.08,27.88,27.989,15150780
31/07/2000,27.84,28,27.7,27.796,1457178
01/08/2000,27.845,27.85,27.68,27.8,1601213
02/08/2000,27.638,27.86,27.6,27.82,1348286
03/08/2000,27.82,27.85,27.64,27.73,1146156
04/08/2000,27.7,27.7,27.48,27.5,1638141
07/08/2000,27.5,27.91,27.41,27.85,1234580
08/08/2000,27.85,27.9,27.62,27.653,1555789
09/08/2000,27.631,27.88,27.5,27.85,1441939
10/08/2000,27.786,28.15,27.786,28.065,1384502
11/08/2000,28.06,28.07,27.91,28.01,614735
14/08/2000,28,28.09,27.84,27.91,1144996
15/08/2000,28,28.03,27.86,27.95,1000335
16/08/2000,27.93,27.97,27.85,27.896,1242829
17/08/2000,27.92,28.25,27.92,28.155,1206988
18/08/2000,28.19,28.2,27.95,28.065,1388731
21/08/2000,28,28.3,28,28.1,870918
22/08/2000,28.11,28.8,28.11,28.73,3119288
23/08/2000,28.67,29,28.67,28.912,1870183
24/08/2000,28.91,29.43,28.8,29.4,3349940
25/08/2000,29.4,29.85,29.3,29.84,6649276
28/08/2000,29.8,29.9,29.65,29.65,1632766
29/08/2000,29.584,29.74,29.45,29.55,783632
30/08/2000,29.454,29.55,28.6,28.787,2613837
31/08/2000,28.45,28.45,27.65,27.683,6112583
01/09/2000,27.85,28,27.74,27.9,5922746
04/09/2000,27.5,27.5,26.92,27.17,4019954
05/09/2000,27.2,27.25,27.05,27.1,851688
06/09/2000,27.1,27.1,26.72,26.76,2726727
07/09/2000,26.74,27,26.51,26.86,2456210
08/09/2000,27,27.14,26.95,27.109,1309751
11/09/2000,26.98,27.1,26.95,26.98,2320442
12/09/2000,26.95,27.44,26.92,27.36,865570
13/09/2000,27.38,27.88,27.38,27.643,3014401
14/09/2000,27.6,27.75,27.41,27.492,1046459
15/09/2000,27.246,27.42,26.85,27.01,2368860
18/09/2000,26.8,26.81,26.5,26.5,2541948
19/09/2000,26.3,26.35,26.18,26.25,1693965
20/09/2000,26.25,26.72,26.25,26.66,1744538
21/09/2000,26.55,26.98,26.55,26.97,1566735
22/09/2000,26.882,26.882,26.6,26.75,1563687
25/09/2000,26.862,27.02,26.85,26.969,1404139
26/09/2000,26.978,27.26,26.9,27.175,1541649
27/09/2000,27.007,27.4,27.007,27.225,1543307
28/09/2000,27.26,27.55,27.16,27.45,1180198
29/09/2000,27.456,27.67,27.38,27.6,2926375
02/10/2000,27.524,27.82,27.51,27.75,735695
03/10/2000,27.75,28.1,27.6,28.04,3715749
04/10/2000,28.117,28.45,28.1,28.219,2479265
05/10/2000,28.05,28.15,27.95,28.04,2650621
06/10/2000,28,28.03,27.64,27.796,2408411
09/10/2000,27.6,27.75,27.45,27.564,1147952
10/10/2000,27.491,27.6,27.4,27.44,1411559
11/10/2000,27.4,27.9,27.32,27.9,1827283
12/10/2000,27.858,28.26,27.8,28.2,2984492
13/10/2000,27.949,28.18,27.949,28.138,1922005
